Date,Close,Retorno
27/11/2015,-,-
30/11/2015,"3,063829505",-
01/12/2015,"3,054827068","-0,29"
02/12/2015,"3,054827068","0,00"
03/12/2015,-,-
04/12/2015,"3,054827068",-
07/12/2015,"3,066830318","0,39"
08/12/2015,-,-
09/12/2015,-,-
10/12/2015,"3,071331536",-
11/12/2015,-,-
14/12/2015,"3,074332349",-
15/12/2015,"3,00711415","-2,19"
16/12/2015,"3,027819756","0,69"
17/12/2015,"2,850771822","-5,85"
18/12/2015,"3,023018456","6,04"
21/12/2015,-,-
22/12/2015,-,-
23/12/2015,-,-
24/12/2015,-,-
25/12/2015,-,-
28/12/2015,"3,030820568",-
29/12/2015,"3,030820568","0,00"
30/12/2015,"3,04582463","0,50"
31/12/2015,-,-
01/01/2016,-,-
04/01/2016,-,-
05/01/2016,"2,885789777",-
06/01/2016,-,-
07/01/2016,-,-
08/01/2016,-,-
11/01/2016,"3,064044917",-
12/01/2016,-,-
13/01/2016,-,-
14/01/2016,-,-
15/01/2016,"3,064044917",-
18/01/2016,"3,064044917","0,00"
19/01/2016,"3,064044917","0,00"
20/01/2016,-,-
21/01/2016,"3,064044917",-
22/01/2016,"2,915245908","-4,86"
25/01/2016,-,-
26/01/2016,"3,036714487","4,17"
27/01/2016,"3,063741246","0,89"
28/01/2016,-,-
29/01/2016,"3,064044917",-
01/02/2016,"3,067143042","0,10"
02/02/2016,-,-
03/02/2016,"3,067143042",-
04/02/2016,"3,067143042","0,00"
05/02/2016,"3,067143042","0,00"
08/02/2016,-,-
09/02/2016,-,-
10/02/2016,"3,067143042","0,00"
11/02/2016,"3,06559398","-0,05"
12/02/2016,"3,064044917","-0,05"
15/02/2016,"3,064044917","0,00"
16/02/2016,"3,064044917","0,00"
17/02/2016,"3,064044917","0,00"
18/02/2016,-,-
19/02/2016,"3,098124284",-
22/02/2016,"3,064044917","-1,10"
23/02/2016,-,-
24/02/2016,"3,098124284",-
25/02/2016,-,-
26/02/2016,"3,067143042",-
29/02/2016,"3,098124284","1,01"
01/03/2016,-,-
02/03/2016,"3,138930379",-
03/03/2016,"3,131083053","-0,25"
04/03/2016,"3,131083053","0,00"
07/03/2016,"3,131083053","0,00"
08/03/2016,"3,131083053","0,00"
09/03/2016,"3,13076916","-0,01"
10/03/2016,"3,113818936","-0,54"
11/03/2016,-,-
14/03/2016,"3,107541076",-
15/03/2016,"3,104402145","-0,10"
16/03/2016,"3,113818936","0,30"
17/03/2016,"3,113818936","0,00"
18/03/2016,"3,201708987","2,82"
21/03/2016,"3,170319683","-0,98"
22/03/2016,"3,170319683","0,00"
23/03/2016,"3,132652519","-1,19"
24/03/2016,"3,132652519","0,00"
25/03/2016,-,-
28/03/2016,"3,201395094","2,19"
29/03/2016,"3,201708987","0,01"
30/03/2016,"3,201708987","0,00"
31/03/2016,"3,201708987","0,00"
01/04/2016,-,-
04/04/2016,"3,144535612",-
05/04/2016,"3,128654119","-0,51"
06/04/2016,"3,112772626","-0,51"
07/04/2016,"3,176298598","2,04"
08/04/2016,"3,223943077","1,50"
11/04/2016,"3,223943077","0,00"
12/04/2016,"3,175028079","-1,52"
13/04/2016,"3,144535612","-0,96"
14/04/2016,"3,175980968","1,00"
15/04/2016,"3,208061584","1,01"
18/04/2016,"3,112772626","-2,97"
19/04/2016,-,-
20/04/2016,"3,23982457",-
21/04/2016,-,-
22/04/2016,"3,176298598","-1,96"
25/04/2016,"3,236648272","1,90"
26/04/2016,"3,236648272","0,00"
27/04/2016,"3,147711911","-2,75"
28/04/2016,"3,192180091","1,41"
29/04/2016,"3,223943077","1,00"
02/05/2016,"3,265770682","1,30"
03/05/2016,"3,256118158","-0,30"
04/05/2016,"3,256118158","0,00"
05/05/2016,"3,217508061","-1,19"
06/05/2016,-,-
09/05/2016,"3,217508061",-
10/05/2016,"3,217508061","0,00"
11/05/2016,"3,249683142","1,00"
12/05/2016,"3,223943077","-0,79"
13/05/2016,"3,217508061","-0,20"
16/05/2016,"3,217508061","0,00"
17/05/2016,"3,256118158","1,20"
18/05/2016,"3,153479651","-3,15"
19/05/2016,"3,201420521","1,52"
20/05/2016,"3,249683142","1,51"
23/05/2016,"3,217508061","-0,99"
24/05/2016,"3,217508061","0,00"
25/05/2016,"3,188872239","-0,89"
26/05/2016,-,-
27/05/2016,"3,217508061","0,90"
30/05/2016,"3,217508061","0,00"
31/05/2016,"3,217508061","0,00"
01/06/2016,"3,230887151","0,42"
02/06/2016,"3,276245531","1,40"
03/06/2016,"3,26319276","-0,40"
06/06/2016,"3,26319276","0,00"
07/06/2016,"3,26319276","0,00"
08/06/2016,"3,26319276","0,00"
09/06/2016,"3,256666374","-0,20"
10/06/2016,"3,262540121","0,18"
13/06/2016,"3,279508724","0,52"
14/06/2016,"3,272982338","-0,20"
15/06/2016,"3,263519079","-0,29"
16/06/2016,"3,279508724","0,49"
17/06/2016,"3,328456615","1,49"
20/06/2016,"3,270698103","-1,74"
21/06/2016,"3,393394151","3,75"
22/06/2016,"3,377404506","-0,47"
23/06/2016,"3,39372047","0,48"
24/06/2016,"3,426352398","0,96"
27/06/2016,"3,315403844","-3,24"
28/06/2016,"3,344772579","0,89"
29/06/2016,"3,377404506","0,98"
30/06/2016,"3,344772579","-0,97"
01/07/2016,"3,338162356","-0,20"
04/07/2016,"3,371213469","0,99"
05/07/2016,"3,371213469","0,00"
06/07/2016,"3,325272422","-1,36"
07/07/2016,"3,305111244","-0,61"
08/07/2016,"3,338162356","1,00"
11/07/2016,"3,401289981","1,89"
12/07/2016,"3,305111244","-2,83"
13/07/2016,"3,292882332","-0,37"
14/07/2016,"3,354687912","1,88"
15/07/2016,"3,338162356","-0,49"
18/07/2016,"3,354357401","0,49"
19/07/2016,"3,305441755","-1,46"
20/07/2016,"3,305111244","-0,01"
21/07/2016,"3,305111244","0,00"
22/07/2016,"3,305111244","0,00"
25/07/2016,"3,370552446","1,98"
26/07/2016,"3,308746866","-1,83"
27/07/2016,"3,354357401","1,38"
28/07/2016,"3,360967624","0,20"
29/07/2016,"3,370221935","0,28"
01/08/2016,"3,364530689","-0,17"
02/08/2016,"3,390978244","0,79"
03/08/2016,"3,381269648","-0,29"
04/08/2016,"3,397004269","0,47"
05/08/2016,"3,397339048","0,01"
08/08/2016,"3,415082344","0,52"
09/08/2016,"3,42479094","0,28"
10/08/2016,"3,447555924","0,66"
11/08/2016,"3,431486524","-0,47"
12/08/2016,"3,570419881","4,05"
15/08/2016,"3,511833525","-1,64"
16/08/2016,"3,548659235","1,05"
17/08/2016,"3,482038179","-1,88"
18/08/2016,"3,448895041","-0,95"
19/08/2016,"3,415751903","-0,96"
22/08/2016,"3,4817034","1,93"
23/08/2016,"3,504133605","0,64"
24/08/2016,"3,514846538","0,31"
25/08/2016,"3,434834316","-2,28"
26/08/2016,"3,448225483","0,39"
29/08/2016,"3,448225483","0,00"
30/08/2016,"3,435838653","-0,36"
31/08/2016,"3,498442359","1,82"
01/09/2016,"3,589293381","2,60"
02/09/2016,"3,542850881","-1,29"
05/09/2016,"3,525562067","-0,49"
06/09/2016,"3,478102577","-1,35"
07/09/2016,-,-
08/09/2016,"3,593361337","3,31"
09/09/2016,"3,610311155","0,47"
12/09/2016,"3,610311155","0,00"
13/09/2016,"3,634353442","0,67"
14/09/2016,"3,641356049","0,19"
15/09/2016,"3,640655789","-0,02"
16/09/2016,"3,641005919","0,01"
19/09/2016,"3,602841707","-1,05"
20/09/2016,"3,60634301","0,10"
21/09/2016,"3,571329972","-0,97"
22/09/2016,"3,602491576","0,87"
23/09/2016,"3,602491576","0,00"
26/09/2016,"3,672867784","1,95"
27/09/2016,"3,658862569","-0,38"
28/09/2016,"3,676369088","0,48"
29/09/2016,"3,693875608","0,48"
30/09/2016,"3,711031997","0,46"
03/10/2016,"3,738668095","0,74"
04/10/2016,"3,736187933","-0,07"
05/10/2016,"3,755674925","0,52"
06/10/2016,"3,730873298","-0,66"
07/10/2016,"3,727330209","-0,09"
10/10/2016,"3,727330209","0,00"
11/10/2016,"3,719889721","-0,20"
12/10/2016,-,-
13/10/2016,"3,650090857","-1,88"
14/10/2016,"3,615722888","-0,94"
17/10/2016,"3,684813134","1,91"
18/10/2016,"3,71670094","0,87"
19/10/2016,"3,71670094","0,00"
20/10/2016,"3,72024403","0,10"
21/10/2016,"3,759218015","1,05"
24/10/2016,"3,702528582","-1,51"
25/10/2016,"3,883226149","4,88"
26/10/2016,"3,799963545","-2,14"
27/10/2016,"3,968260298","4,43"
28/10/2016,"3,932829403","-0,89"
31/10/2016,"3,85240127","-2,05"
01/11/2016,"3,783863368","-1,78"
02/11/2016,-,-
03/11/2016,-,-
04/11/2016,-,-
07/11/2016,"3,712469719",-
08/11/2016,"3,730318131","0,48"
09/11/2016,"3,712469719","-0,48"
10/11/2016,"3,676772895","-0,96"
11/11/2016,"3,589315676","-2,38"
14/11/2016,"3,6553548","1,84"
15/11/2016,-,-
16/11/2016,"3,641076071","-0,39"
17/11/2016,"3,627154309","-0,38"
18/11/2016,"3,623227659","-0,11"
21/11/2016,"3,605379246","-0,49"
22/11/2016,"3,650000277","1,24"
23/11/2016,"3,658924483","0,24"
24/11/2016,"3,650000277","-0,24"
25/11/2016,"3,658210546","0,22"
28/11/2016,"3,598239882","-1,64"
29/11/2016,"3,573252105","-0,69"
30/11/2016,"3,58431812","0,31"
01/12/2016,"3,674007117","2,50"
02/12/2016,"3,648793343","-0,69"
05/12/2016,"3,619257207","-0,81"
06/12/2016,"3,619977601","0,02"
07/12/2016,"3,63798744","0,50"
08/12/2016,"3,601967762","-0,99"
09/12/2016,"3,601967762","0,00"
12/12/2016,"3,589360875","-0,35"
13/12/2016,"3,601967762","0,35"
14/12/2016,"3,619977601","0,50"
15/12/2016,"3,619977601","0,00"
16/12/2016,"3,619977601","0,00"
19/12/2016,"3,674007117","1,49"
20/12/2016,"3,601967762","-1,96"
21/12/2016,"3,619617404","0,49"
22/12/2016,"3,619977601","0,01"
23/12/2016,"3,619977601","0,00"
26/12/2016,"3,619977601","0,00"
27/12/2016,"3,620337798","0,01"
28/12/2016,"3,619977601","-0,01"
29/12/2016,"3,565948085","-1,49"
30/12/2016,-,-
